filename,width,height,class,xmin,ymin,xmax,ymax
images (60).jpeg,196,196,pen,1,72,194,94
images (60).jpeg,196,196,pen,1,101,194,133
images (60).jpeg,196,196,pen,1,135,195,156
images (60).jpeg,196,196,pen,1,165,195,196
images (26).jpeg,525,96,pen,27,30,512,68
image-256.jpeg,337,150,pen,219,34,297,108
images (63).jpeg,196,196,pen,1,1,194,23
images (63).jpeg,196,196,pen,1,34,195,55
images (63).jpeg,196,196,pen,1,64,192,82
images (63).jpeg,196,196,pen,1,89,194,108
images (63).jpeg,196,196,pen,1,120,193,137
images (63).jpeg,196,196,pen,1,146,196,164
images (63).jpeg,196,196,pen,1,180,192,194
image-246.jpeg,300,168,pen,83,93,220,151
image-246.jpeg,300,168,pen,37,36,131,116
images (62).jpeg,196,196,pen,1,1,196,196
image (9).jpeg,210,240,pen,3,50,111,236
image (9).jpeg,210,240,pen,20,39,134,225
image (9).jpeg,210,240,pen,39,27,150,212
image (9).jpeg,210,240,pen,59,18,172,201
image (9).jpeg,210,240,pen,77,10,192,190
image (9).jpeg,210,240,pen,93,1,210,178
images (59).jpeg,192,196,pen,77,1,129,195
images (5).jpeg,100,100,pen,38,1,86,87
images (66).jpeg,300,168,pen,179,10,217,158
images (66).jpeg,300,168,pen,128,10,172,158
images (66).jpeg,300,168,pen,78,8,119,154
images (33).jpeg,194,259,pen,31,57,170,203
images (18).jpeg,225,225,pen,42,74,166,164
image (20).jpeg,185,272,pen,27,26,179,255
image-239.jpeg,275,183,pen,148,68,178,93
image (18).jpeg,260,194,pen,24,22,250,181
image-214.jpeg,275,183,pen,32,1,137,113
images (7).jpeg,100,100,pen,8,31,97,67
image (5).jpeg,158,159,pen,119,2,132,135
image (5).jpeg,158,159,pen,97,2,110,138
image (5).jpeg,158,159,pen,11,142,148,158
image (5).jpeg,158,159,pen,21,3,38,134
image (5).jpeg,158,159,pen,50,2,60,137
image (5).jpeg,158,159,pen,74,2,87,138
image-211.jpeg,259,194,pen,72,61,80,115
image (17).jpeg,203,248,pen,1,100,201,142
images (3).jpeg,262,192,pen,10,8,256,168
image (19).jpeg,216,233,pen,22,31,191,204
images (15).jpeg,225,225,pen,19,55,217,160
images (61).jpeg,195,196,pen,26,2,52,166
images (61).jpeg,195,196,pen,58,2,78,167
images (61).jpeg,195,196,pen,90,2,109,167
images (61).jpeg,195,196,pen,113,1,139,167
images (61).jpeg,195,196,pen,146,2,174,169
images (61).jpeg,195,196,pen,9,179,187,196
image (11).jpeg,225,225,pen,59,31,167,181
images (35).jpeg,225,225,pen,9,52,220,167
images.jpeg,196,196,pen,17,1,176,195
image-248.jpeg,300,168,pen,181,1,242,45
images (28).jpeg,252,200,pen,208,16,228,180
images (28).jpeg,252,200,pen,145,18,159,182
images (28).jpeg,252,200,pen,86,18,97,181
images (28).jpeg,252,200,pen,22,18,33,180
images (45).jpeg,225,225,pen,126,31,141,192
images (45).jpeg,225,225,pen,110,54,125,212
images (45).jpeg,225,225,pen,94,15,108,176
images (45).jpeg,225,225,pen,68,39,97,200
images (37).jpeg,259,194,pen,5,154,252,172
images (37).jpeg,259,194,pen,8,119,249,136
images (37).jpeg,259,194,pen,7,86,251,105
images (37).jpeg,259,194,pen,21,51,246,68
images (46).jpeg,225,225,pen,118,85,127,203
images (46).jpeg,225,225,pen,105,83,117,203
images (46).jpeg,225,225,pen,92,83,105,203
images (73).jpeg,306,165,pen,1,70,262,156
images (73).jpeg,306,165,pen,26,35,277,109
images (73).jpeg,306,165,pen,43,4,302,65
images (56).jpeg,196,196,pen,2,1,196,195
image (13).jpeg,225,225,pen,70,31,147,203
images (38).jpeg,296,170,pen,13,76,283,97
image-255.jpeg,352,143,pen,151,12,189,78
images (74).jpeg,275,183,pen,14,80,256,109
image-207.jpeg,297,170,pen,190,81,223,134
image-254.jpeg,275,183,pen,157,97,199,119
images (57).jpeg,225,225,pen,1,35,44,179
images (57).jpeg,225,225,pen,42,27,72,179
images (57).jpeg,225,225,pen,57,26,110,187
images (20).jpeg,225,225,pen,4,74,212,150
image (15).jpeg,259,194,pen,1,8,258,189
image (8).jpeg,259,194,pen,3,36,255,151
images (70).jpeg,100,100,pen,1,49,100,66
image-217.jpeg,300,168,pen,65,50,128,96
images (27).jpeg,225,225,pen,11,116,171,168
images (27).jpeg,225,225,pen,16,98,212,159
images (27).jpeg,225,225,pen,19,81,216,138
images (27).jpeg,225,225,pen,54,61,214,102
images (9).jpeg,225,225,pen,9,29,219,187
image-234.jpeg,314,161,pen,199,31,314,110
images (50).jpeg,270,186,pen,21,39,246,160
images (6).jpeg,225,224,pen,1,2,223,224
images (40).jpeg,225,225,pen,18,112,186,162
images (19).jpeg,234,215,pen,12,36,216,188
images (48).jpeg,225,225,pen,28,6,222,217
image-209.jpeg,310,163,pen,175,1,187,132
image-209.jpeg,310,163,pen,194,1,208,70
image-209.jpeg,310,163,pen,151,1,161,78
image-209.jpeg,310,163,pen,1,1,77,131
image-209.jpeg,310,163,pen,227,99,285,163
images (25).jpeg,262,192,pen,1,14,261,179
images (72).jpeg,259,194,pen,34,1,259,162
images (55).jpeg,225,225,pen,30,32,87,185
images (55).jpeg,225,225,pen,77,34,135,186
images (55).jpeg,225,225,pen,121,33,181,186
image-222.jpeg,275,183,pen,1,42,80,121
image-222.jpeg,275,183,pen,1,27,70,102
image-221.jpeg,275,183,pen,7,16,17,74
image-221.jpeg,275,183,pen,22,21,30,68
image-221.jpeg,275,183,pen,221,112,263,150
image-200.jpeg,300,168,pen,59,33,152,143
image-218.jpeg,312,161,pen,157,1,252,100
images (44).jpeg,181,279,pen,34,14,135,265
images (1).jpeg,159,159,pen,1,1,158,159
image.jpeg,159,159,pen,1,3,158,157
image-225.jpeg,310,163,pen,47,86,79,119
image-225.jpeg,310,163,pen,253,139,292,159
image-252.jpeg,300,168,pen,37,19,53,104
image (12).jpeg,183,275,pen,76,42,110,234
images (2).jpeg,159,159,pen,4,1,159,158
image-206.jpeg,294,171,pen,25,1,151,141
image-235.png,311,162,pen,44,40,284,118
